3104;10753;REC;;Complici;0;"ENRICO NIGIOTTI FEAT. GIANNA NANNINI; ENRICO NIGIOTTI; GIANNA NANNINI";N;;;;;;;;;;03:16;00:05;;2;;15;15;20;2018;2018;6;2018;;L:\AudioToscana\2018\Enrico Nigiotti feat. Gianna Nannini - Complici.wav;;;2
3127;9323;REC;;Sei Un Pensiero Speciale;0;EROS RAMAZZOTTI;B;;;;;;;O;I;;03:38;00:10;MS;1;;126;126;57;2015;2015;6;2015;;L:\AudioToscana\2015\EROS RAMAZZOTTI - SEI UN PENSIERO SPECIALE.wav;;;1
3162;1966;REC;;Portami Via;0;FABRIZIO MORO;N;L;;;;;;;I;;03:05;00:14;SS;1;;101;99;28;2017;SANREMO 2017;6;2017;;L:\AudioToscana\2017\FABRIZIO MORO - PORTAMI VIA.wav;;;1
3171;1965;REC;;Che Sia Benedetta;0;FIORELLA MANNOIA;N;L;;;;;;;I;;02:58;00:16;SS;1;;100;100;42;2017;2017;6;2017;;L:\AudioToscana\2017\FIORELLA MANNOIA - CHE SIA BENEDETTA.wav;;;2
3181;10240;REC;;Io Non Abito Al Mare;0;FRANCESCA MICHIELIN;N;;;;;;;;I;;03:07;00:13;;2;;52;52;30;2017;2017;6;2017;;L:\AudioToscana\2017\Francesca Michielin - Io non abito al mare.wav;;;2
3201;4114;REC;;Meravigliosa (la Luna);0;FRANCESCO RENGA;N;;;;;;;;I;;04:04;00:22;FF;3;;84;28;23;2006;ITA 2000;5;ita V;;L:\AudioToscana\ita V\Francesco Renga - Meravigliosa (la luna).wav;;;2
3271;10363;REC;;Come Neve;0;"GIORGIA & MARCO MENGONI; GIORGIA; MARCO MENGONI";N;;;;;;;;I;;03:21;00:17;SS;1;;48;48;73;2017;2017;6;2017;;L:\AudioToscana\2017\Giorgia & Marco Mengoni - Come neve.wav;;;1
3291;9219;REC;;Grande Amore;0;IL VOLO;B;;;;;;;O;I;;03:40;00:13;SM;1;;222;218;54;2015;2015;6;SANREMO;;L:\AudioToscana\2015\SANREMO\IL VOLO - GRANDE AMORE.wav;;;1
3435;9402;REC;;Ti Ho Voluto Bene Veramente;0;MARCO MENGONI;N;;;;;;;;I;;02:41;00:04;SS;1;;161;161;61;2015;2015;6;2015;;L:\AudioToscana\2015\MARCO MENGONI - TI HO VOLUTO BENE VERAMENTE.wav;;;1
3535;7644;REC;;Briciole;0;NOEMI;N;;;;;;;;I;;03:19;00:02;SS;2;;83;72;39;2009;2009;6;2009;;L:\AudioToscana\2009\noemi - briciole.wav;;;2
3777;6591;REC;;Skyfall;0;ADELE;N;;;;;;;O;S;;03:55;00:13;SS;1;;87;50;48;2012;2012;6;2012;;L:\AudioToscana\2012\Adele - Skyfall.wav;;;1
4163;10827;REC;;Shallow;1;"LADY GAGA & BRADLEY COOPER; LADY GAGA";B;L;;;;;;O;S;;03:26;00:16;SM;1;;215;206;62;2018;2018;6;2018;;L:\AudioToscana\2018\Lady Gaga & Bradley Cooper - Shallow.wav;;;1
4200;9274;REC;;Ghosttown;0;MADONNA;;;;;;;;;;;04:05;00:12;;;;2;2;6;2015;2015;;2015;;L:\AudioToscana\2015\MADONNA - GHOSTTOWN.wav;;;2
4263;5125;REC;;Dilemma;0;NELLY - KELLY ROWLAND;N;Y;;;;;;;S;;04:22;00:10;SF;3;;134;60;35;2002;STRA 2000;5;stra V;;L:\AudioToscana\stra V\Nelly - Dilemma.wav;;;1
5489;11219;REC;;Che Vita Meravigliosa;0;DIODATO;N;;;;;;;;;;03:23;00:10;MM;2;;26;25;18;2019;2019;6;2019;;L:\AudioToscana\2019\Diodato - Che vita meravigliosa.wav;;;2
5616;9000;REC;;A Modo Tuo;1;ELISA;B;;;;;;;O;I;;04:04;00:10;SS;1;;213;129;40;2014;2014;6;2014;;L:\AudioToscana\2014\Elisa - A Modo Tuo.wav;;;1
5682;10971;REC;;Nonno Hollywood;0;ENRICO NIGIOTTI;N;;;;;;;;I;;03:42;00:15;SS;1;;145;144;41;2019;SANREMO 2019;6;SANREMO;;L:\AudioToscana\2019\SANREMO\Enrico Nigiotti - Nonno Hollywood.wav;;;1
5722;10254;REC;;Ragazza Paradiso;0;ERMAL META;N;;;;;;;;I;;03:27;00:24;SM;2;;37;28;21;2017;2017;6;2017;;L:\AudioToscana\2017\Ermal Meta - Ragazza paradiso.WAV;;;2
5727;11514;REC;;Un Milione Di Cose Da Dirti;0;ERMAL META;N;;;;;;;O;I;;03:18;00:14;MM;1;;162;162;55;2021;2021;7;;;L:\AudioToscana\2021\Ermal Meta - Un milione di cose da dirti.wav;;;1
6073;9188;REC;;Oronero;0;GIORGIA;N;;;;;;;;I;;03:15;00:14;SS;1;;81;81;60;2016;2016;6;2016;;L:\AudioToscana\2016\GIORGIA - ORONERO.wav;;;1
6907;7531;REC;;Dove Si Vola;0;MARCO MENGONI;N;2;;;;;;O;I;;03:49;00:13;MS;2;;108;108;41;2009;2009;5;2009;;L:\AudioToscana\2009\marco - dove si vola.wav;;;2
9850;5344;REC;;Nient'altro Che Noi;0;"883; MAX PEZZALI";N;;;;;;;O;I;;04:26;00:16;SS;2;;107;92;40;1999;ITA 2000;5;ita V;;L:\AudioToscana\ita V\883 - Nient'altro che noi.wav;;;1
9881;7097;REC;;Senza Nuvole;0;ALESSANDRA AMOROSO;N;;;;;;;O;I;;03:33;00:08;SS;1;;131;78;30;2009;2009;5;2009;;L:\AudioToscana\2009\Alessandra Amoroso - Senza Nuvole.wav;;;1
9883;7262;REC;;Estranei A Partire Da Ieri;0;ALESSANDRA AMOROSO;N;;;;;;;O;I;;03:56;00:16;SS;1;;142;125;47;2009;2009;5;2009;;L:\AudioToscana\2009\Alessandra Amoroso - Estranei a partire da ieri.WAV;;;1
9885;7332;REC;;Non Devi Perdermi;0;ALESSANDRA AMOROSO;N;;;;;;;O;I;;03:11;00:14;MM;2;;123;79;38;2014;2014;6;2014;;L:\AudioToscana\2014\ALESSANDRA AMOROSO -  NON DEVI PERDERMI.wav;;;1
9886;5180;REC;;Immobile;0;ALESSANDRA AMOROSO;N;;;;;;;O;I;200;03:16;00:00;SS;1;;161;155;64;2009;2009;5;2009;;L:\AudioToscana\2009\Alessandra Amoroso - Immobile.wav;;;1
9930;6345;REC;;Dalla Pelle Al Cuore;0;ANTONELLO VENDITTI;N;;;;;;;O;I;;04:12;00:13;SS;1;;161;87;38;2007;2007;6;2007;;L:\AudioToscana\2007\Antonello Venditti - Dalla pelle al cuore.wav;;;1
9943;7941;REC;;Unica;0;ANTONELLO VENDITTI;N;;;;;;;O;I;;03:32;00:24;SM;1;;160;91;36;2011;2011;6;2011;;L:\AudioToscana\2011\Antonello Venditti - UNICA.wav;;;1
9962;6181;REC;;Sognami;0;BIAGIO ANTONACCI;N;;;;;;;O;I;;03:13;00:50;MM;2;;189;140;56;2007;2007;5;2007;;L:\AudioToscana\2007\Biagio Antonacci - Sognami.wav;;;1
9984;4604;REC;;Guardastelle;0;BUNGARO;N;L;;;;;;O;I;;03:51;00:16;SS;1;;133;87;37;2004;ITA 2000;5;ita V;;L:\AudioToscana\ita V\Bungaro - Guardastelle.wav;;;1
9992;7478;REC;;Il Pagliaccio;0;CESARE CREMONINI;B;;;;;;;O;I;;04:12;00:12;MM;2;;192;166;65;2009;2009;5;2009;;L:\AudioToscana\2009\Cesare Cremonini - Il Pagliaccio.wav;;;1
10063;10825;REC;;Se Piovesse Il Tuo Nome;1;ELISA;B;;;;;;;O;I;;03:04;00:12;MS;1;;228;139;38;2018;2018;6;2018;;L:\AudioToscana\2018\Elisa - Se piovesse il tuo nome.wav;;;1
10083;10364;REC;;Piccola Anima;0;"ERMAL META FEAT ELISA; ERMAL META; ELISA";N;;;;;;;O;I;;03:26;00:18;SS;1;;93;86;81;2017;2017;6;2017;;L:\AudioToscana\2017\Ermal Meta - Piccola Anima.wav;;;1
10209;1297;REC;;Che Ne Sarà Di Noi;0;GIANLUCA GRIGNANI;N;;;;;;;O;I;;03:42;00:14;SS;1;;139;126;59;2005;ITA 2000;5;ita V;;L:\AudioToscana\ita V\Gianluca Grignani - Che Ne Sarà Di Noi.wav;;;1
10218;6829;REC;;Vuoi Vedere Che Ti Amo;0;"GIANLUCA GRIGNANI - L'AURA; GIANLUCA GRIGNANI; L'AURA";N;;;;;;;O;I;;04:00;00:00;SS;1;;138;113;66;2008;2008;5;2008;;L:\AudioToscana\2008\Gianluca Grignani - Vuoi Vedere Che Ti Amo.wav;;;1
10276;347;REC;;Parlami D'amore;0;GIORGIA;B;;;;;;;O;I;;03:32;00:18;SS;2;;207;21;29;1999;ITA 90;4;ita V;;L:\AudioToscana\ita V\Giorgia - Parlami D'amore.wav;;;1
10278;346;REC;;Marzo;0;GIORGIA;N;;;;;;;O;I;;03:40;00:28;SF;1;;69;50;21;2002;ITA 2000;5;ita V;;L:\AudioToscana\ita V\Giorgia - Marzo - Giorgia.wav;;;1
10279;7286;REC;;Per Fare A Meno Di Te;0;GIORGIA;N;;;;;;;O;I;;02:49;00:15;SS;1;;98;93;70;2008;2008;5;2008;;L:\AudioToscana\2008\giorgia - per fare a meno di te.wav;;;1
10294;689;REC;;Buon Compleanno;0;IRENE GRANDI;N;;;;;;;O;I;;03:53;00:16;SS;2;;112;64;41;2003;ITA 2000;5;ita V;;L:\AudioToscana\ita V\irene grandi - buon compleanno.wav;;;1
10336;2113;REC;;Come Se Non Fosse Stato Mai Amore;0;LAURA PAUSINI;N;;;;;;;O;I;;03:52;00:24;SM;2;;98;79;46;2004;ITA 2000;5;ita V;;L:\AudioToscana\2005\Laura Pausini - Come se non fosse mai stato amore.wav;;;1
10377;11422;REC;;Volente O Nolente;0;"LIGABUE FEAT ELISA; LIGABUE; ELISA";N;;;;;;;O;I;;03:21;00:13;SM;1;;66;33;50;2020;2020;5;;;L:\AudioToscana\2020\LIGABUE feat ELISA - VOLENTE O NOLENTE.wav;;;1
10464;539;REC;;Fino A Tutta La Vita Che C'è;0;MARCO MASINI;N;;;;;;;O;I;;03:17;00:23;MF;2;;143;65;45;1999;ITA 90;4;ita V;;L:\AudioToscana\ita V\Marco Masini - Fino A Tutta La Vita Che C'è.wav;;;1
10480;546;REC;;Con Il Cuore;0;MASSIMO DI CATALDO;N;;;;;;;O;I;;04:07;00:14;SF;1;;122;58;35;2001;ITA 90;4;ita V;;L:\AudioToscana\ita V\Massimo Di Cataldo - Con Il Cuore.wav;;;1
10496;2124;REC;;Eccoti;0;MAX PEZZALI;B;;;;;;;O;I;;03:56;00:08;SM;1;;239;194;62;2005;ITA 2000;5;ita V;;L:\AudioToscana\2005\883-Max Pezzali - Eccoti (New 2005).wav;;;1
10550;7860;REC;;Tappeto Di Fragole;0;MODA';B;;;;;;;O;I;;03:07;00:07;SS;1;;267;260;51;2011;2011;6;2011;;L:\AudioToscana\2011\Modà - Tappeto di fragole.wav;;;1
10559;424;REC;;Solo 3 Min;0;NEGRAMARO;B;;;;;;;O;I;;03:30;00:28;SS;1;;254;190;46;2005;ITA 2000;5;2005;;L:\AudioToscana\2005\NEGRAMARO - solo 3 min.wav;;;1
10566;8089;REC;;Basta Così;0;"NEGRAMARO FEAT. ELISA; NEGRAMARO; ELISA";N;;;;;;;O;I;;04:29;00:02;SS;1;;73;46;51;2011;2011;6;2011;;L:\AudioToscana\2011\Negramaro feat. Elisa - Basta così.wav;;;1
10573;5390;REC;;Instabile;0;NEK;N;;;;;;;O;I;;03:24;00:12;SS;1;;156;142;67;2006;2006;5;2006;;L:\AudioToscana\2006\Nek - Instabile.wav;;;1
10586;7254;REC;;L'amore Si Odia;0;"NOEMI - FIORELLA MANNOIA; NOEMI; FIORELLA MANNOIA";N;;;;;;;O;I;;03:03;00:14;SS;1;;164;118;68;2009;2009;5;2009;;L:\AudioToscana\2009\Noemi - L'amore si odia.WAV;;;1
10599;11469;REC;;Un Sorriso Dentro Al Pianto;0;ORNELLA VANONI;N;;;;;;;O;I;;03:36;00:08;SS;1;;133;34;18;2021;2021;7;;;L:\AudioToscana\2020\Ornella Vanoni - Un sorriso dentro al pianto.wav;;;1
10607;7320;REC;;Tu Che Sei Parte Di Me;0;"PACIFICO - GIANNA NANNINI; PACIFICO; GIANNA NANNINI";N;;;;;;;O;I;;03:13;00:09;SS;2;;142;79;49;2008;2008;5;2008;;L:\AudioToscana\2008\PACIFICO - Tu che sei parte di me.wav;;;1
10608;8475;REC;;L'unica Cosa Che Resta;0;"PACIFICO FEAT. MALIKA AYANE; PACIFICO; MALIKA AYANE";N;;;;;;;O;I;;02:56;00:11;SS;1;;141;90;41;2012;2012;6;2012;;L:\AudioToscana\2012\Pacifico feat. malika Ayane - L'unica cosa che resta.wav;;;1
10640;5571;REC;;Vento Di Passione;0;"PINO DANIELE E GIORGIA; PINO DANIELE; GIORGIA";B;;;;;;;O;I;;04:04;00:21;SM;2;;64;32;37;2007;2007;5;2007;;L:\AudioToscana\2007\Pino Daniele - Vento di passione (CON giorgia).wav;;;1
